//DefineFormatedProcessProgram
//CCODE:[commandcodename],commandCode(CCODE),processparameternumber,Comment
//PParmName,Type,Min.Value,Max.Value,Comment
CCODE:[1],1,57,Comment 1
RC1_Coatingoftimes,FT_4,0,20000,		
RC1_CoatingSpeedSetting,FT_4,0,20000,
RC1_Plugoftimes,FT_4,0,20000,
RC1_CoatingPressureSetting,FT_4,0,20000,
RC1_BoardClampingDistance,FT_4,0,20000,
RC1_PanelThicknessSetting,FT_4,0,20000,
RC1_PanelWidthSetting,FT_4,0,20000,
RC1_LocationOfDrop,FT_4,0,20000,
RC1_SpeedOfDrop,FT_4,0,20000,
RC1_Blade_Pressure1,FT_4,0,20000,
RC1_Blade_Pressure2,FT_4,0,20000,
RC1_Blade_Pressure3,FT_4,0,20000,
RC1_Blade_Pressure4,FT_4,0,20000,
RC1_CoatingPullSpeed,FT_4,0,20000,
RC1_BakingTimeSetting,FT_4,0,20000,
RC1_TemperatureSV1,FT_4,0,20000,
RC1_TemperatureSV2,FT_4,0,20000,
RC2_Coatingoftimes,FT_4,0,20000,
RC2_CoatingSpeedSetting,FT_4,0,20000,
RC2_Plugoftimes,FT_4,0,20000,
RC2_CoatingPressureSetting,FT_4,0,20000,
RC2_BoardClampingDistance,FT_4,0,20000,
RC2_PanelThicknessSetting,FT_4,0,20000,
RC2_PanelWidthSetting,FT_4,0,20000,
RC2_LocationOfDrop,FT_4,0,20000,
RC2_SpeedOfDrop,FT_4,0,20000,
RC2_Blade_Pressure1,FT_4,0,20000,
RC2_Blade_Pressure2,FT_4,0,20000,
RC2_Blade_Pressure3,FT_4,0,20000,
RC2_Blade_Pressure4,FT_4,0,20000,
RC2_CoatingPullSpeed,FT_4,0,20000,
RC2_BakingTimeSetting,FT_4,0,20000,
RC2_TemperatureSV1,FT_4,0,20000,
RC2_TemperatureSV2,FT_4,0,20000,
RC3_Coatingoftimes,FT_4,0,20000,
RC3_CoatingSpeedSetting,FT_4,0,20000,
RC3_Plugoftimes,FT_4,0,20000,
RC3_CoatingPressureSetting,FT_4,0,20000,
RC3_BoardClampingDistance,FT_4,0,20000,
RC3_PanelThicknessSetting,FT_4,0,20000,
RC3_PanelWidthSetting,FT_4,0,20000,
RC3_LocationOfDrop,FT_4,0,20000,
RC3_SpeedOfDrop,FT_4,0,20000,
RC3_Blade_Pressure1,FT_4,0,20000,
RC3_Blade_Pressure2,FT_4,0,20000,
RC3_Blade_Pressure3,FT_4,0,20000,
RC3_Blade_Pressure4,FT_4,0,20000,
RC3_CoatingPullSpeed,FT_4,0,20000,
RC3_BakingTimeSetting,FT_4,0,20000,
RC3_TemperatureSV1,FT_4,0,20000,
RC3_TemperatureSV2,FT_4,0,20000,
RC3_TemperatureSV3,FT_4,0,20000,
RC3_TemperatureSV4,FT_4,0,20000,
RC3_TemperatureSV5,FT_4,0,20000,
RC3_TemperatureSV6,FT_4,0,20000,
RC3_TemperatureSV7,FT_4,0,20000,
RC3_TemperatureSV8,FT_4,0,20000,
