Name,ID,Type,Length,Unit,Definition
RC1_Coatingoftimes,1000,FT_4,1,,RC1_Coatingoftimes,
RC1_CoatingSpeedSetting,1001,FT_4,1,,RC1_CoatingSpeedSetting,
RC1_Plugoftimes,1002,FT_4,1,,RC1_Plugoftimes,
RC1_CoatingPressureSetting,1003,FT_4,1,,RC1_CoatingPressureSetting,
RC1_PanelThicknessSetting,1004,FT_4,1,,RC1_PanelThicknessSetting,
RC1_PanelWidthSetting,1005,FT_4,1,,RC1_PanelWidthSetting,
RC1_LocationOfDrop,1006,FT_4,1,,RC1_LocationOfDrop,
RC1_SpeedOfDrop,1007,FT_4,1,,RC1_SpeedOfDrop,
RC1_Blade_Pressure1,1008,FT_4,1,,RC1_Blade_Pressure1,
RC1_Blade_Pressure2,1009,FT_4,1,,RC1_Blade_Pressure2,
RC1_Blade_Pressure3,1010,FT_4,1,,RC1_Blade_Pressure3,
RC1_Blade_Pressure4,1011,FT_4,1,,RC1_Blade_Pressure4,
RC1_CoatingPullSpeed,1012,FT_4,1,,RC1_CoatingPullSpeed,
RC1_BakingTimeSetting,1013,FT_4,1,,RC1_BakingTimeSetting,
RC1_TemperatureSV1,1014,FT_4,1,,RC1_TemperatureSV1,
RC1_TemperatureSV2,1015,FT_4,1,,RC1_TemperatureSV2,
RC1_TemperaturePV1,1016,FT_4,1,,RC1_TemperaturePV1,
RC1_TemperaturePV2,1017,FT_4,1,,RC1_TemperaturePV2,
RC2_Coatingoftimes,1018,FT_4,1,,RC2_Coatingoftimes,
RC2_CoatingSpeedSetting,1019,FT_4,1,,RC2_CoatingSpeedSetting,
RC2_Plugoftimes,1020,FT_4,1,,RC2_Plugoftimes,
RC2_CoatingPressureSetting,1021,FT_4,1,,RC2_CoatingPressureSetting,
RC2_PanelThicknessSetting,1022,FT_4,1,,RC2_PanelThicknessSetting,
RC2_PanelWidthSetting,1023,FT_4,1,,RC2_PanelWidthSetting,
RC2_LocationOfDrop,1024,FT_4,1,,RC2_LocationOfDrop,
RC2_SpeedOfDrop,1025,FT_4,1,,RC2_SpeedOfDrop,
RC2_Blade_Pressure1,1026,FT_4,1,,RC2_Blade_Pressure1,
RC2_Blade_Pressure2,1027,FT_4,1,,RC2_Blade_Pressure2,
RC2_Blade_Pressure3,1028,FT_4,1,,RC2_Blade_Pressure3,
RC2_Blade_Pressure4,1029,FT_4,1,,RC2_Blade_Pressure4,
RC2_CoatingPullSpeed,1030,FT_4,1,,RC2_CoatingPullSpeed,
RC2_BakingTimeSetting,1031,FT_4,1,,RC2_BakingTimeSetting,
RC2_TemperatureSV1,1032,FT_4,1,,RC2_TemperatureSV1,
RC2_TemperatureSV2,1033,FT_4,1,,RC2_TemperatureSV2,
RC2_TemperaturePV1,1034,FT_4,1,,RC2_TemperaturePV1,
RC2_TemperaturePV2,1035,FT_4,1,,RC2_TemperaturePV2,
RC3_Coatingoftimes,1036,FT_4,1,,RC3_Coatingoftimes,
RC3_CoatingSpeedSetting,1037,FT_4,1,,RC3_CoatingSpeedSetting,
RC3_Plugoftimes,1038,FT_4,1,,RC3_Plugoftimes,
RC3_CoatingPressureSetting,1039,FT_4,1,,RC3_CoatingPressureSetting,
RC3_PanelThicknessSetting,1040,FT_4,1,,RC3_PanelThicknessSetting,
RC3_PanelWidthSetting,1041,FT_4,1,,RC3_PanelWidthSetting,
RC3_LocationOfDrop,1042,FT_4,1,,RC3_LocationOfDrop,
RC3_SpeedOfDrop,1043,FT_4,1,,RC3_SpeedOfDrop,
RC3_Blade_Pressure1,1044,FT_4,1,,RC3_Blade_Pressure1,
RC3_Blade_Pressure2,1045,FT_4,1,,RC3_Blade_Pressure2,
RC3_Blade_Pressure3,1046,FT_4,1,,RC3_Blade_Pressure3,
RC3_Blade_Pressure4,1047,FT_4,1,,RC3_Blade_Pressure4,
RC3_CoatingPullSpeed,1048,FT_4,1,,RC3_CoatingPullSpeed,
RC3_BakingTimeSetting,1049,FT_4,1,,RC3_BakingTimeSetting,
RC3_TemperatureSV1,1050,FT_4,1,,RC3_TemperatureSV1,
RC3_TemperatureSV2,1051,FT_4,1,,RC3_TemperatureSV2,
RC3_TemperatureSV3,1052,FT_4,1,,RC3_TemperatureSV3,
RC3_TemperatureSV4,1053,FT_4,1,,RC3_TemperatureSV4,
RC3_TemperatureSV5,1054,FT_4,1,,RC3_TemperatureSV5,
RC3_TemperatureSV6,1055,FT_4,1,,RC3_TemperatureSV6,
RC3_TemperatureSV7,1056,FT_4,1,,RC3_TemperatureSV7,
RC3_TemperatureSV8,1057,FT_4,1,,RC3_TemperatureSV8,
RC3_TemperaturePV1,1058,FT_4,1,,RC3_TemperaturePV1,
RC3_TemperaturePV2,1059,FT_4,1,,RC3_TemperaturePV2,
RC3_TemperaturePV3,1060,FT_4,1,,RC3_TemperaturePV3,
RC3_TemperaturePV4,1061,FT_4,1,,RC3_TemperaturePV4,
RC3_TemperaturePV5,1062,FT_4,1,,RC3_TemperaturePV5,
RC3_TemperaturePV6,1063,FT_4,1,,RC3_TemperaturePV6,
